ATC Catalogue;;;;
anatomical_grp;therapeutic_subgrp;pharmacol_subgrp;chem_subgrp;chem_substance
J - ANTIINFECTIVES FOR SYSTEMIC USE;J05 - ANTIVIRALS FOR SYSTEMIC USE;J05A - DIRECT ACTING ANTIVIRALS;J05AR - Antivirals for treatment of HIV infections -  combinations;J05AR09 - emtricitabine -  tenofovir disoproxil -  elvitegravir and cobicistat
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A06 - DRUGS FOR CONSTIPATION;A06A - DRUGS FOR CONSTIPATION;A06AC - Bulk-forming laxatives;A06AC02 - ethulose
C - CARDIOVASCULAR SYSTEM DRUGS;C02 - ANTIHYPERTENSIVES;C02L - ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION;C02LL - MAO inhibitors and diuretics;C02LL01 - pargyline and diuretics
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A03 - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03D - ANTISPASMODICS IN COMBINATION WITH ANALGESICS;A03DA - Synthetic anticholinergic agents in combination with analgesics;A03DA06 - trospium and analgesics
S - SENSORY ORGAN DRUGS;S03 - OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS;S03A - ANTIINFECTIVES -  OPHTHALMOLOGIC AND OTOLOGIC;S03AA - Antiinfectives;S03AA08 - chloramphenicol
D - DERMATOLOGICALS;D01 - ANTIFUNGALS FOR DERMATOLOGICAL USE;D01A - ANTIFUNGALS FOR TOPICAL USE;D01AA - Antifungal Antibiotics -  Topical;D01AA07 - pyrrolnitrin
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01X - OTHER ANTINEOPLASTIC AGENTS in ATC;L01XE - Protein kinase inhibitors -  antineoplastic drugs;L01XE17 - axitinib
C - CARDIOVASCULAR SYSTEM DRUGS;C01 - CARDIAC THERAPY DRUGS;C01D - VASODILATORS USED IN CARDIAC DISEASES;C01DX - Other vasodilators used in cardiac diseases in ATC;C01DX14 - cinepazet
C - CARDIOVASCULAR SYSTEM DRUGS;C10 - LIPID MODIFYING AGENTS;C10A - LIPID MODIFYING AGENTS -  PLAIN;C10AX - Other lipid modifying agents in ATC;C10AX11 - mipomersen
J - ANTIINFECTIVES FOR SYSTEMIC USE;J07 - VACCINES;J07A - BACTERIAL VACCINES;J07AE - Cholera vaccines;J07AE51 - cholera -  combinations with typhoid vaccine -  inactivated -  whole cell
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A02 - DRUGS FOR ACID RELATED DISORDERS;A02B - DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD);A02BX - Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) in ATC;A02BX05 - bismuth subcitrate
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A07 - ANTIDIARRHEALS -  INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS;A07B - INTESTINAL ADSORBENTS;A07BC - Other intestinal adsorbents in ATC;A07BC54 - attapulgite -  combinations
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A03 - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03A - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03AX - Other drugs for functional gastrointestinal disorders in ATC;A03AX30 - trimethyldiphenylpropylamine
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A09 - DIGESTIVES -  INCL. ENZYMES;A09A - DIGESTIVES -  INCL. ENZYMES;A09AA - Enzyme preparations -  digestives;A09AA02 - multienzymes (lipase -  protease etc.)
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03A - HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE;G03AA - Progestogens and estrogen systemic contraceptives -  fixed combinations;G03AA11 - norgestimate and ethinylestradiol
C - CARDIOVASCULAR SYSTEM DRUGS;C05 - VASOPROTECTIVES;C05B - ANTIVARICOSE THERAPY DRUGS;C05BB - Sclerosing agents for local injection;C05BB02 - polidocanol
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05B - ANXIOLYTICS;N05BE - Azaspirodecanedione derivatives -  anxiolytics;N05BE01 - buspirone
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01C - BETA-LACTAM ANTIBACTERIALS -  PENICILLINS;J01CA - Penicillins with extended spectrum;J01CA17 - temocillin
V - VARIOUS DRUG CLASSES IN ATC;V09 - DIAGNOSTIC RADIOPHARMACEUTICALS;V09X - OTHER DIAGNOSTIC RADIOPHARMACEUTICALS in ATC;V09XA - Iodine I-131 diagnostic radiopharmaceuticals;V09XA03 - iodine (131I) human albumin
C - CARDIOVASCULAR SYSTEM DRUGS;C01 - CARDIAC THERAPY DRUGS;C01D - VASODILATORS USED IN CARDIAC DISEASES;C01DX - Other vasodilators used in cardiac diseases in ATC;C01DX01 - itramin tosilate
G - GENITO URINARY SYSTEM AND SEX HORMONES;G04 - UROLOGICALS;G04B - UROLOGICALS;G04BX - Other urologicals in ATC;G04BX14 - dapoxetine
R - RESPIRATORY SYSTEM DRUGS;R03 - DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES;R03B - OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES -  INHALANTS in ATC;R03BB - Anticholinergics inhalants for obstructive airway diseases;R03BB05 - aclidinium bromide
C - CARDIOVASCULAR SYSTEM DRUGS;C09 - AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM;C09D - ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs) -  COMBINATIONS;C09DB - Angiotensin II receptor blockers (ARBs) and calcium channel blockers;C09DB06 - losartan and amlodipine
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A02 - DRUGS FOR ACID RELATED DISORDERS;A02A - ANTACIDS;A02AA - antacids containing magnesium compounds;A02AA03 - magnesium peroxide
R - RESPIRATORY SYSTEM DRUGS;R03 - DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES;R03D - OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES in ATC;R03DA - Xanthines -  systemic for obstructive airway disease;R03DA51 - diprophylline -  combinations
D - DERMATOLOGICALS;D05 - ANTIPSORIATICS;D05B - ANTIPSORIATICS FOR SYSTEMIC USE;D05BA - Psoralens for systemic use;D05BA02 - methoxsalen
D - DERMATOLOGICALS;D08 - ANTISEPTICS AND DISINFECTANTS;D08A - ANTISEPTICS AND DISINFECTANTS;D08AK - Mercurial antiseptic and disinfectant products;D08AK05 - mercury -  metallic
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L02 - ENDOCRINE THERAPY ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L02A - HORMONES AND RELATED AGENTS;L02AB - Progestogens -  endocrine therapy drugs;L02AB01 - megestrol
N - NERVOUS SYSTEM DRUGS;N02 - ANALGESICS;N02A - OPIOID ANALGESICS;N02AA - Natural opium alkaloid analgesics;N02AA04 - nicomorphine
V - VARIOUS DRUG CLASSES IN ATC;V09 - DIAGNOSTIC RADIOPHARMACEUTICALS;V09C - RENAL SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS;V09CA - Technetium 99m compounds -  renal system diagnostic radiopharmaceuticals;V09CA03 - technetium (99mTc) mertiatide
C - CARDIOVASCULAR SYSTEM DRUGS;C09 - AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM;C09A - ACE INHIBITORS -  PLAIN;C09AA - ACE inhibitors -  plain;C09AA08 - cilazapril
D - DERMATOLOGICALS;D01 - ANTIFUNGALS FOR DERMATOLOGICAL USE;D01A - ANTIFUNGALS FOR TOPICAL USE;D01AC - Imidazole and triazole derivatives -  topical antifungals;D01AC10 - bifonazole
C - CARDIOVASCULAR SYSTEM DRUGS;C09 - AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM;C09C - ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs) -  PLAIN;C09CA - Angiotensin II receptor blockers (ARBs) -  plain;C09CA06 - candesartan
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A02 - DRUGS FOR ACID RELATED DISORDERS;A02B - DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD);A02BX - Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) in ATC;A02BX08 - sulglicotide
C - CARDIOVASCULAR SYSTEM DRUGS;C07 - beta-Adrenergic Blocking Agents;C07B - BETA BLOCKING AGENTS AND THIAZIDES;C07BG - Alpha and beta blocking agents and thiazides;C07BG01 - labetalol and thiazides
N - NERVOUS SYSTEM DRUGS;N01 - ANESTHETICS;N01A - ANESTHETICS -  GENERAL;N01AX - Other general anesthetics in ATC;N01AX14 - esketamine
V - VARIOUS DRUG CLASSES IN ATC;V10 - THERAPEUTIC RADIOPHARMACEUTICALS;V10B - PAIN PALLIATION (BONE SEEKING AGENTS);V10BX - Various pain palliation radiopharmaceuticals;V10BX03 - rhenium (186Re) etidronic acid
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B05 - BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS;B05A - BLOOD AND RELATED PRODUCTS;B05AA - Blood substitutes and plasma protein fractions;B05AA09 - hemoglobin raffimer
G - GENITO URINARY SYSTEM AND SEX HORMONES;G04 - UROLOGICALS;G04B - UROLOGICALS;G04BD - Drugs for urinary frequency and incontinence;G04BD12 - mirabegron
C - CARDIOVASCULAR SYSTEM DRUGS;C10 - LIPID MODIFYING AGENTS;C10B - LIPID MODIFYING AGENTS -  COMBINATIONS;C10BX - HMG CoA reductase inhibitors -  other combinations;C10BX06 - atorvastatin -  acetylsalicylic acid and ramipril
B - BLOOD AND BLOOD FORMING ORGAN DRUGS;B01 - ANTITHROMBOTIC AGENTS;B01A - ANTITHROMBOTIC AGENTS;B01AD - Enzymes -  antithrombotic;B01AD04 - urokinase
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A09 - DIGESTIVES -  INCL. ENZYMES;A09A - DIGESTIVES -  INCL. ENZYMES;A09AC - Enzyme and acid preparations -  combinations;A09AC02 - multienzymes and acid preparations
C - CARDIOVASCULAR SYSTEM DRUGS;C07 - beta-Adrenergic Blocking Agents;C07A - BETA BLOCKING AGENTS;C07AA - Beta blocking agents -  non-selective;C07AA03 - pindolol
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A03 - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03A - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A03AB - Synthetic anticholinergics -  quaternary ammonium compounds for functional gastrointestinal disorders;A03AB08 - tridihexethyl
D - DERMATOLOGICALS;D01 - ANTIFUNGALS FOR DERMATOLOGICAL USE;D01A - ANTIFUNGALS FOR TOPICAL USE;D01AC - Imidazole and triazole derivatives -  topical antifungals;D01AC07 - tioconazole
J - ANTIINFECTIVES FOR SYSTEMIC USE;J05 - ANTIVIRALS FOR SYSTEMIC USE;J05A - DIRECT ACTING ANTIVIRALS;J05AB - Nucleosides and nucleotides excl. reverse transcriptase inhibitors;J05AB11 - valaciclovir
C - CARDIOVASCULAR SYSTEM DRUGS;C10 - LIPID MODIFYING AGENTS;C10A - LIPID MODIFYING AGENTS -  PLAIN;C10AB - Fibrates -  lipid modifying drugs -  plain;C10AB11 - choline fenofibrate
C - CARDIOVASCULAR SYSTEM DRUGS;C01 - CARDIAC THERAPY DRUGS;C01A - CARDIAC GLYCOSIDES;C01AC - Strophanthus glycosides used in cardiac therapy;C01AC01 - g-strophanthin
N - NERVOUS SYSTEM DRUGS;N02 - ANALGESICS;N02B - OTHER ANALGESICS AND ANTIPYRETICS in ATC;N02BA - Salicylic acid and derivatives -  analgesics and antipyretics;N02BA79 - dipyrocetyl -  combinations with psycholeptics
C - CARDIOVASCULAR SYSTEM DRUGS;C02 - ANTIHYPERTENSIVES;C02L - ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION;C02LA - Rauwolfia alkaloids and diuretics in combination;C02LA71 - reserpine and diuretics -  combinations with psycholeptics
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A02 - DRUGS FOR ACID RELATED DISORDERS;A02B - DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD);A02BD - Combinations for eradication of Helicobacter pylori;A02BD06 - esomeprazole -  amoxicillin and clarithromycin
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05C - HYPNOTICS AND SEDATIVES;N05CA - Barbiturates -  hypnotics and sedatives -  plain;N05CA15 - methohexital
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L02 - ENDOCRINE THERAPY ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L02B - HORMONE ANTAGONISTS AND RELATED AGENTS;L02BG - Aromatase inhibitors;L02BG02 - formestane
R - RESPIRATORY SYSTEM DRUGS;R01 - NASAL PREPARATIONS;R01B - NASAL DECONGESTANTS FOR SYSTEMIC USE;R01BA - Sympathomimetics;R01BA51 - phenylpropanolamine -  combinations
J - ANTIINFECTIVES FOR SYSTEMIC USE;J05 - ANTIVIRALS FOR SYSTEMIC USE;J05A - DIRECT ACTING ANTIVIRALS;J05AX - Other antivirals in ATC;J05AX10 - maribavir
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03C - ESTROGENS -  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03CA - Natural and semisynthetic estrogens -  plain;G03CA53 - estradiol -  combinations
R - RESPIRATORY SYSTEM DRUGS;R03 - DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES;R03A - ADRENERGICS -  INHALANTS;R03AC - Selective beta-2-adrenoreceptor agonist inhalants;R03AC02 - salbutamol
J - ANTIINFECTIVES FOR SYSTEMIC USE;J06 - IMMUNE SERA AND IMMUNOGLOBULINS;J06B - IMMUNOGLOBULINS;J06BB - Specific immunoglobulins;J06BB19 - anthrax immunoglobulin
C - CARDIOVASCULAR SYSTEM DRUGS;C07 - beta-Adrenergic Blocking Agents;C07B - BETA BLOCKING AGENTS AND THIAZIDES;C07BB - Beta blocking agents -  selective -  and thiazides;C07BB06 - bevantolol and thiazides
D - DERMATOLOGICALS;D01 - ANTIFUNGALS FOR DERMATOLOGICAL USE;D01A - ANTIFUNGALS FOR TOPICAL USE;D01AE - Other antifungals for topical use in ATC;D01AE10 - ethyl hydroxybenzoate
J - ANTIINFECTIVES FOR SYSTEMIC USE;J01 - ANTIBACTERIALS FOR SYSTEMIC USE;J01M - QUINOLONE ANTIBACTERIALS;J01MA - Fluoroquinolone antibacterials -  systemic;J01MA05 - temafloxacin
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01A - ANTIINFECTIVE OPHTHALMOLOGICS;S01AX - Other antiinfectives in ATC;S01AX04 - nitrofural
R - RESPIRATORY SYSTEM DRUGS;R06 - ANTIHISTAMINES FOR SYSTEMIC USE;R06A - ANTIHISTAMINES FOR SYSTEMIC USE;R06AA - Aminoalkyl ethers -  systemic antihistamines;R06AA02 - diphenhydramine
C - CARDIOVASCULAR SYSTEM DRUGS;C01 - CARDIAC THERAPY DRUGS;C01B - ANTIARRHYTHMICS -  CLASS I AND III;C01BD - Antiarrhythmics -  class III;C01BD04 - dofetilide
M - MUSCULO-SKELETAL SYSTEM DRUGS;M01 - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS;M01C - SPECIFIC ANTIRHEUMATIC AGENTS;M01CB - Gold preparations;M01CB04 - aurothioglucose
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A05 - BILE AND LIVER THERAPY DRUGS;A05A - BILE THERAPY DRUGS;A05AA - Bile acids and derivatives for bile therapy;A05AA03 - cholic acid
P - ANTIPARASITIC PRODUCTS -  INSECTICIDES AND REPELLENTS;P01 - ANTIPROTOZOALS;P01A - AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES;P01AR - Arsenic compounds -  for amoebiasis and other protozoal diseases;P01AR53 - glycobiarsol -  combinations
N - NERVOUS SYSTEM DRUGS;N06 - PSYCHOANALEPTICS;N06D - ANTI-DEMENTIA DRUGS;N06DA - Anticholinesterase anti-dementia drugs;N06DA01 - tacrine
A - ALIMENTARY TRACT AND METABOLISM DRUGS;A01 - STOMATOLOGICAL PREPARATIONS;A01A - STOMATOLOGICAL PREPARATIONS;A01AD - Other agents for local oral treatment in ATC;A01AD01 - epinephrine
J - ANTIINFECTIVES FOR SYSTEMIC USE;J04 - ANTIMYCOBACTERIALS;J04A - DRUGS FOR TREATMENT OF TUBERCULOSIS;J04AK - Other drugs for treatment of tuberculosis in ATC;J04AK02 - ethambutol
M - MUSCULO-SKELETAL SYSTEM DRUGS;M01 - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS;M01A - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS -  NON-STEROIDS;M01AB - Acetic acid derivatives and related substances;M01AB09 - lonazolac
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03F - PROGESTOGENS AND ESTROGENS IN COMBINATION;G03FB - Progestogens and estrogens -  sequential preparations;G03FB01 - norgestrel and estrogen
R - RESPIRATORY SYSTEM DRUGS;R05 - COUGH AND COLD PREPARATIONS;R05D - COUGH SUPPRESSANTS -  EXCL. COMBINATIONS WITH EXPECTORANTS;R05DB - Other cough suppressants in ATC;R05DB27 - levodropropizine
N - NERVOUS SYSTEM DRUGS;N05 - PSYCHOLEPTICS;N05B - ANXIOLYTICS;N05BA - Benzodiazepine derivative anxiolytics;N05BA22 - cloxazolam
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01X - OTHER ANTINEOPLASTIC AGENTS in ATC;L01XC - Monoclonal antibodies -  antineoplastic;L01XC19 - blinatumomab
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L02 - ENDOCRINE THERAPY ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L02B - HORMONE ANTAGONISTS AND RELATED AGENTS;L02BG - Aromatase inhibitors;L02BG05 - vorozole
S - SENSORY ORGAN DRUGS;S01 - OPHTHALMOLOGICALS;S01A - ANTIINFECTIVE OPHTHALMOLOGICS;S01AX - Other antiinfectives in ATC;S01AX07 - sodium borate
N - NERVOUS SYSTEM DRUGS;N04 - ANTI-PARKINSON DRUGS;N04A - ANTICHOLINERGIC AGENTS;N04AA - Tertiary amines -  anticholinergic;N04AA08 - dexetimide
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01X - OTHER ANTINEOPLASTIC AGENTS in ATC;L01XX - Other antineoplastic agents in ATC;L01XX16 - mitoguazone
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03C - ESTROGENS -  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03CA - Natural and semisynthetic estrogens -  plain;G03CA03 - estradiol
G - GENITO URINARY SYSTEM AND SEX HORMONES;G03 - SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM;G03E - ANDROGENS AND FEMALE SEX HORMONES IN COMBINATION;G03EA - Androgens and estrogens;G03EA01 - methyltestosterone and estrogen
L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L01 - ANTINEOPLASTIC AGENTS;L01X - OTHER ANTINEOPLASTIC AGENTS in ATC;L01XX - Other antineoplastic agents in ATC;L01XX03 - altretamine
